feature,tcNo,useremail,password,dFirstname,dLastname,dcontactnumber,dDob,DietEmail,hospitalName,hospitalStreet,hospitalCity,hospitalPin,education,statusCode,ErrorMessage
create dietician ,CD_01,,,John,Smith,1234567890,1955-01-01,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,200,
,CD_02,,,John,Smith,1234567890,1955-01-01,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,DUPLICATE_ENTITY
,CD_03,,,John,Smith,1234567890,1966-02-02,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,401,Unauthorized
,CD_04,,,John,Smith,,1966-02-03,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Contact number should contain 10 digits
,CD_05,,,John,Smith,12345678901,1966-02-04,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Contact number should contain 10 digits
,CD_06,,,John,Smith,123456789,1966-02-05,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Contact number should contain 10 digits
,CD_07,,,John,Smith,string,1966-02-06,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Contact number should contain 10 digits
,CD_08,,,John,Smith,123456789,1966-02-07,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,
,CD_09,,,John,Smith,1234567890,,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Date of Birth is Mandatory!
,CD_10,,,John,Smith,1234567890,1996-17-09,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Date of Birth is Mandatory!
,CD_11,,,John,Smith,1234567890,2014-28-01,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Date of Birth is Mandatory!
,CD_12,,,John,Smith,1234567890,2025-12-19,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Date of Birth is Mandatory!
,CD_13,,,John,Smith,1234567890,dsjdoi,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,Bad Request
,CD_14,,,John,Smith,1234567890,1947-07-13,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,Computer Scienc,400,"Dietician's education is required!
"
,CD_15,,,John,Smith,1234567890,1966-07-14,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,2323,400,"Dietician's education is required!
"
,CD_16,,,John,Smith,1234567890,1966-07-15,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,hiigfkjpjspjrgjsejgrjspojsijsjogisejroijseoijrijgoijeoijglrjhoijojrohksjlkjkjljisoijoigfjoirjsigjijgirjiojeoijroiejoijgjoeijoeijoijrjgrjgjepohjoijrorrjohjohjorjhijhirjhoijorijhoirjohjrojeojoirjrjojeojgrejoijgorjorijojiejjrekjgklrgngnrjjdkjereojoekjojgijgoejrgojgojgogrjelkjgrgjreojggj,400,
,CD_17,,,John,Smith,1234567890,1966-07-16,John.s@gmail.com,Kaiser,Hamilthon,San Jose,123456,C,400,
